StimName,ranking,Bid,tag,show,cued
CrunchBisquitBrown3.bmp,1,7.17777777778,Tag.NO_GO,True,False
Snickers.bmp,2,6.8888888888899995,Tag.NO_GO,True,False
ClickBisquit2.bmp,3,6.466666666669999,Tag.NO_GO,True,False
PesekZman.bmp,4,6.22222222222,Tag.NO_GO,True,False
Mekupelet.bmp,5,5.86666666667,Tag.NO_GO,True,False
GumiSnakes3.bmp,6,5.42222222222,Tag.NO_GO,True,False
SkittlesSour4.bmp,7,5.33333333333,Tag.NO_GO,True,False
KinderBuenoBrown3.bmp,8,5.28888888889,Tag.NO_GO,True,False
CrunchBisquitWhite2.bmp,9,5.04444444444,Tag.NO_GO,True,False
SkittlesFruits2.bmp,10,4.95555555556,Tag.NO_GO,True,False
Kitkat.bmp,11,4.93333333333,Tag.NO_GO,True,False
BisliOnion.bmp,12,4.93333333333,Tag.NO_GO,True,False
BabyDoll.bmp,13,4.91111111111,Tag.GO,True,True
KinderBuenoWhite2.bmp,14,4.88888888889,Tag.GO,True,True
Bamba.bmp,15,4.86666666667,Tag.GO,True,True
ChocolateParaCookies5.bmp,16,4.84444444444,Tag.GO,True,True
HispusimShatiah.bmp,17,4.82222222222,Tag.GO,True,True
KashitSour.bmp,18,4.2,Tag.GO,True,True
ClickBalls5.bmp,19,3.9777777777800005,Tag.GO,True,True
GumiWine2.bmp,20,3.84444444444,Tag.GO,True,True
DoritosGrill.bmp,21,3.8,Tag.GO,True,True
KinderJoy.bmp,22,3.73333333333,Tag.GO,True,True
DoritosNatural.bmp,23,3.71111111111,Tag.GO,True,True
Dubonim.bmp,24,3.71111111111,Tag.GO,True,True
Keifli.bmp,25,3.71111111111,Tag.S_H,True,False
Halva2.bmp,26,3.6888888888899998,Tag.S_H,True,False
Egozi.bmp,27,3.66666666667,Tag.S_H,True,False
BambaNugat.bmp,28,3.46666666667,Tag.S_H,True,False
ChocolateParaSucariotKoftzot2.bmp,29,2.91111111111,Tag.S_H,True,False
ClickXLbrown4.bmp,30,2.82222222222,Tag.S_H,True,False
ClickXLwhite4.bmp,31,2.75555555556,Tag.S_H,True,False
ClickBlackWhite3.bmp,32,2.71111111111,Tag.S_H,True,False
Twix.bmp,33,2.6888888888899998,Tag.S_H,True,False
BisliGrill.bmp,34,2.6,Tag.S_H,True,False
Tictac.bmp,35,1.86666666667,Tag.S_H,True,False
BambaSweet.bmp,36,1.71111111111,Tag.S_H,True,False
Smarties.bmp,37,1.6666666666699999,Tag.S_L,True,False
Mentos.bmp,38,1.6444444444400002,Tag.S_L,True,False
Apropo.bmp,39,1.1555555555600001,Tag.S_L,True,False
Hit.bmp,40,0.711111111111,Tag.S_L,True,False
DoritosSourSpicy.bmp,41,0.688888888889,Tag.S_L,True,False
Tapuchips.bmp,42,0.577777777778,Tag.S_L,True,False
Mars.bmp,43,0.577777777778,Tag.S_L,True,False
HappyHippo.bmp,44,0.222222222222,Tag.S_L,True,False
CrunchShokoVanil.bmp,45,0.222222222222,Tag.S_L,True,False
Loacker.bmp,46,0.2,Tag.S_L,True,False
ChocolateParaMilk3.bmp,47,0.2,Tag.S_L,True,False
Tortit.bmp,48,0.17777777777800002,Tag.S_L,True,False
Popco.bmp,49,0.17777777777800002,Tag.NO_SHOW,False,False
BisliPizza3.bmp,50,0.155555555556,Tag.NO_SHOW,False,False
BagaleShtuhim.bmp,51,0.155555555556,Tag.NO_SHOW,False,False
Taami.bmp,52,0.133333333333,Tag.NO_SHOW,False,False
ChocolateParaMarir2.bmp,53,0.133333333333,Tag.NO_SHOW,False,False
KifkefMaklot2.bmp,54,0.133333333333,Tag.NO_SHOW,False,False
TapuchipsCrunch.bmp,55,0.133333333333,Tag.NO_SHOW,False,False
WerthersOriginal.bmp,56,0.133333333333,Tag.NO_SHOW,False,False
Bounty.bmp,57,0.133333333333,Tag.NO_SHOW,False,False
Twist.bmp,58,0.0888888888889,Tag.NO_SHOW,False,False
Cheetos.bmp,59,0.0888888888889,Tag.NO_SHOW,False,False
Shugi.bmp,60,0.044444444444399996,Tag.NO_SHOW,False,False
